country,year,sex,age,suicides_no,population,
Albania,1905,female,15-24 years,,277900.00,
Albania,1905,female,25-34 years,,246800.00,
Albania,1905,female,35-54 years,,267500.00,
Albania,1905,female,5-14 years,,298300.00,
Albania,1905,female,55-74 years,,138700.00,
Albania,1905,female,75+ years,,34200.00,
Albania,1905,male,15-24 years,,301400.00,
Albania,1905,male,25-34 years,,264200.00,
Albania,1905,male,35-54 years,,296700.00,
Albania,1905,male,5-14 years,,325800.00,
Albania,1905,male,55-74 years,,132500.00,
Albania,1905,male,75+ years,,21100.00,
Albania,1905,female,15-24 years,,283900.00,
Albania,1905,female,25-34 years,,252100.00,
Albania,1905,female,35-54 years,,273200.00,
Albania,1905,female,5-14 years,,304700.00,
Albania,1905,female,55-74 years,,141700.00,
Albania,1905,female,75+ years,,34900.00,
Albania,1905,male,15-24 years,,306700.00,
Albania,1905,male,25-34 years,,269000.00,
Albania,1905,male,35-54 years,,302000.00,
Albania,1905,male,5-14 years,,331600.00,
Albania,1905,male,55-74 years,,134800.00,
Albania,1905,male,75+ years,,21400.00,
Albania,1905,female,15-24 years,14.00,289700.00,
Albania,1905,female,25-34 years,4.00,257200.00,
Albania,1905,female,35-54 years,6.00,278800.00,
Albania,1905,female,5-14 years,0.00,311000.00,
Albania,1905,female,55-74 years,0.00,144600.00,
Albania,1905,female,75+ years,1.00,35600.00,
Albania,1905,male,15-24 years,21.00,312900.00,
Albania,1905,male,25-34 years,9.00,274300.00,
Albania,1905,male,35-54 years,16.00,308000.00,
Albania,1905,male,5-14 years,0.00,338200.00,
Albania,1905,male,55-74 years,1.00,137500.00,
Albania,1905,male,75+ years,1.00,21800.00,
Albania,1905,female,15-24 years,8.00,295600.00,
Albania,1905,female,25-34 years,5.00,262400.00,
Albania,1905,female,35-54 years,4.00,284500.00,
Albania,1905,female,5-14 years,0.00,317200.00,
Albania,1905,female,55-74 years,3.00,147500.00,
Albania,1905,female,75+ years,2.00,36400.00,
Albania,1905,male,15-24 years,17.00,319200.00,
Albania,1905,male,25-34 years,5.00,279900.00,
Albania,1905,male,35-54 years,14.00,314100.00,
Albania,1905,male,5-14 years,0.00,345000.00,
Albania,1905,male,55-74 years,4.00,140200.00,
Albania,1905,male,75+ years,1.00,22300.00,
Albania,1905,female,15-24 years,5.00,299900.00,
Albania,1905,female,25-34 years,2.00,266300.00,
Albania,1905,female,35-54 years,7.00,288600.00,
Albania,1905,female,5-14 years,0.00,321900.00,
Albania,1905,female,55-74 years,1.00,149600.00,
Albania,1905,female,75+ years,0.00,37000.00,
Albania,1905,male,15-24 years,12.00,323500.00,
Albania,1905,male,25-34 years,18.00,283600.00,
Albania,1905,male,35-54 years,15.00,318400.00,
Albania,1905,male,5-14 years,0.00,349700.00,
Albania,1905,male,55-74 years,6.00,142100.00,
Albania,1905,male,75+ years,2.00,22500.00,
Albania,1905,female,15-24 years,,305900.00,
Albania,1905,female,25-34 years,,278000.00,
Albania,1905,female,35-54 years,,308300.00,
Albania,1905,female,5-14 years,,329600.00,
Albania,1905,female,55-74 years,,156400.00,
Albania,1905,female,75+ years,,37600.00,
Albania,1905,male,15-24 years,,325600.00,
Albania,1905,male,25-34 years,,295100.00,
Albania,1905,male,35-54 years,,337700.00,
Albania,1905,male,5-14 years,,355600.00,
Albania,1905,male,55-74 years,,149700.00,
Albania,1905,male,75+ years,,23200.00,
Albania,1905,female,15-24 years,,301100.00,
Albania,1905,female,25-34 years,,274700.00,
Albania,1905,female,35-54 years,,316500.00,
Albania,1905,female,5-14 years,,333300.00,
Albania,1905,female,55-74 years,,160800.00,
Albania,1905,female,75+ years,,38300.00,
Albania,1905,male,15-24 years,,302200.00,
Albania,1905,male,25-34 years,,276900.00,
Albania,1905,male,35-54 years,,342600.00,
Albania,1905,male,5-14 years,,359500.00,
Albania,1905,male,55-74 years,,154800.00,
Albania,1905,male,75+ years,,23600.00,
Albania,1905,female,15-24 years,7.00,292400.00,
Albania,1905,female,25-34 years,4.00,267400.00,
Albania,1905,female,35-54 years,2.00,323100.00,
Albania,1905,female,5-14 years,0.00,336700.00,
Albania,1905,female,55-74 years,1.00,164900.00,
Albania,1905,female,75+ years,0.00,38700.00,
Albania,1905,male,15-24 years,9.00,263700.00,
Albania,1905,male,25-34 years,7.00,245500.00,
Albania,1905,male,35-54 years,12.00,343800.00,
Albania,1905,male,5-14 years,0.00,362900.00,
Albania,1905,male,55-74 years,5.00,159500.00,
Albania,1905,male,75+ years,0.00,23900.00,
Albania,1905,female,15-24 years,10.00,285300.00,
Albania,1905,female,25-34 years,7.00,261800.00,
Albania,1905,female,35-54 years,7.00,331200.00,
Albania,1905,female,5-14 years,1.00,340300.00,
Albania,1905,female,55-74 years,2.00,169500.00,
Albania,1905,female,75+ years,0.00,39300.00,
Albania,1905,male,15-24 years,18.00,243300.00,
Albania,1905,male,25-34 years,9.00,230100.00,
Albania,1905,male,35-54 years,10.00,350300.00,
Albania,1905,male,5-14 years,1.00,367000.00,
Albania,1905,male,55-74 years,7.00,165000.00,
Albania,1905,male,75+ years,1.00,24200.00,
Albania,1905,female,15-24 years,6.00,282600.00,
Albania,1905,female,25-34 years,4.00,261100.00,
Albania,1905,female,35-54 years,2.00,342500.00,
Albania,1905,female,5-14 years,0.00,344400.00,
Albania,1905,female,55-74 years,1.00,174600.00,
Albania,1905,female,75+ years,2.00,39900.00,
Albania,1905,male,15-24 years,6.00,242200.00,
Albania,1905,male,25-34 years,6.00,231400.00,
Albania,1905,male,35-54 years,9.00,362800.00,
Albania,1905,male,5-14 years,1.00,371800.00,
Albania,1905,male,55-74 years,11.00,171400.00,
Albania,1905,male,75+ years,2.00,24600.00,
Albania,1905,female,15-24 years,13.00,283500.00,
Albania,1905,female,25-34 years,7.00,264000.00,
Albania,1905,female,35-54 years,8.00,356400.00,
Albania,1905,female,5-14 years,2.00,348700.00,
Albania,1905,female,55-74 years,2.00,180400.00,
Albania,1905,female,75+ years,2.00,40800.00,
Albania,1905,male,15-24 years,11.00,241200.00,
Albania,1905,male,25-34 years,13.00,232900.00,
Albania,1905,male,35-54 years,14.00,375900.00,
Albania,1905,male,5-14 years,6.00,376500.00,
Albania,1905,male,55-74 years,9.00,178000.00,
Albania,1905,male,75+ years,1.00,25100.00,
Albania,1905,female,15-24 years,16.00,287700.00,
Albania,1905,female,25-34 years,10.00,267900.00,
Albania,1905,female,35-54 years,9.00,362000.00,
Albania,1905,female,5-14 years,1.00,354100.00,
Albania,1905,female,55-74 years,1.00,183100.00,
Albania,1905,female,75+ years,2.00,41200.00,
Albania,1905,male,15-24 years,17.00,243600.00,
Albania,1905,male,25-34 years,14.00,235300.00,
Albania,1905,male,35-54 years,12.00,379600.00,
Albania,1905,male,5-14 years,2.00,380400.00,
Albania,1905,male,55-74 years,3.00,179900.00,
Albania,1905,male,75+ years,2.00,25400.00,
Albania,1905,female,15-24 years,21.00,294000.00,
Albania,1905,female,25-34 years,16.00,273900.00,
Albania,1905,female,35-54 years,7.00,370100.00,
Albania,1905,female,5-14 years,6.00,361800.00,
Albania,1905,female,55-74 years,0.00,187000.00,
Albania,1905,female,75+ years,2.00,42100.00,
Albania,1905,male,15-24 years,33.00,244400.00,
Albania,1905,male,25-34 years,36.00,236000.00,
Albania,1905,male,35-54 years,30.00,380800.00,
Albania,1905,male,5-14 years,4.00,381500.00,
Albania,1905,male,55-74 years,12.00,180300.00,
Albania,1905,male,75+ years,3.00,25400.00,
Albania,1905,female,15-24 years,32.00,295600.00,
Albania,1905,female,25-34 years,10.00,275300.00,
Albania,1905,female,35-54 years,9.00,372100.00,
Albania,1905,female,5-14 years,1.00,363800.00,
Albania,1905,female,55-74 years,6.00,188200.00,
Albania,1905,female,75+ years,0.00,42300.00,
Albania,1905,male,15-24 years,27.00,248800.00,
Albania,1905,male,25-34 years,26.00,240400.00,
Albania,1905,male,35-54 years,29.00,388200.00,
Albania,1905,male,5-14 years,2.00,388400.00,
Albania,1905,male,55-74 years,9.00,183800.00,
Albania,1905,male,75+ years,3.00,25800.00,
Albania,1905,female,15-24 years,19.00,296800.00,
Albania,1905,female,25-34 years,13.00,276500.00,
Albania,1905,female,35-54 years,5.00,373600.00,
Albania,1905,female,5-14 years,1.00,365200.00,
Albania,1905,female,55-74 years,6.00,188800.00,
Albania,1905,female,75+ years,4.00,42400.00,
Albania,1905,male,15-24 years,24.00,250600.00,
Albania,1905,male,25-34 years,19.00,242300.00,
Albania,1905,male,35-54 years,31.00,391100.00,
Albania,1905,male,5-14 years,0.00,391300.00,
Albania,1905,male,55-74 years,14.00,185200.00,
Albania,1905,male,75+ years,3.00,25900.00,
Albania,1905,female,15-24 years,6.00,263900.00,
Albania,1905,female,25-34 years,3.00,245800.00,
Albania,1905,female,35-54 years,5.00,332200.00,
Albania,1905,female,5-14 years,0.00,324700.00,
Albania,1905,female,55-74 years,0.00,168000.00,
Albania,1905,female,75+ years,2.00,37800.00,
Albania,1905,male,15-24 years,5.00,240000.00,
Albania,1905,male,25-34 years,17.00,232000.00,
Albania,1905,male,35-54 years,4.00,374700.00,
Albania,1905,male,5-14 years,1.00,374900.00,
Albania,1905,male,55-74 years,10.00,177400.00,
Albania,1905,male,75+ years,1.00,24900.00,
Albania,1905,female,15-24 years,9.00,271359.00,
Albania,1905,female,25-34 years,4.00,222771.00,
Albania,1905,female,35-54 years,12.00,370191.00,
Albania,1905,female,5-14 years,2.00,307356.00,
Albania,1905,female,55-74 years,6.00,189799.00,
Albania,1905,female,75+ years,2.00,47254.00,
Albania,1905,male,15-24 years,10.00,256039.00,
Albania,1905,male,25-34 years,22.00,206484.00,
Albania,1905,male,35-54 years,34.00,378826.00,
Albania,1905,male,5-14 years,6.00,321556.00,
Albania,1905,male,55-74 years,11.00,196670.00,
Albania,1905,male,75+ years,1.00,31044.00,
Albania,1905,female,15-24 years,14.00,275970.00,
Albania,1905,female,25-34 years,7.00,223685.00,
Albania,1905,female,35-54 years,15.00,375113.00,
Albania,1905,female,5-14 years,1.00,304850.00,
Albania,1905,female,55-74 years,4.00,191712.00,
Albania,1905,female,75+ years,1.00,47407.00,
Albania,1905,male,15-24 years,15.00,263067.00,
Albania,1905,male,25-34 years,23.00,206286.00,
Albania,1905,male,35-54 years,35.00,382139.00,
Albania,1905,male,5-14 years,1.00,319473.00,
Albania,1905,male,55-74 years,13.00,198130.00,
Albania,1905,male,75+ years,4.00,31007.00,
Albania,1905,female,15-24 years,14.00,283709.00,
Albania,1905,female,25-34 years,9.00,222941.00,
Albania,1905,female,35-54 years,13.00,381760.00,
Albania,1905,female,5-14 years,0.00,298477.00,
Albania,1905,female,55-74 years,9.00,195699.00,
Albania,1905,female,75+ years,6.00,49088.00,
Albania,1905,male,15-24 years,15.00,273235.00,
Albania,1905,male,25-34 years,9.00,205433.00,
Albania,1905,male,35-54 years,28.00,386196.00,
Albania,1905,male,5-14 years,4.00,313204.00,
Albania,1905,male,55-74 years,16.00,201520.00,
Albania,1905,male,75+ years,1.00,32667.00,
Albania,1905,female,15-24 years,20.00,292268.00,
Albania,1905,female,25-34 years,11.00,222389.00,
Albania,1905,female,35-54 years,17.00,391436.00,
Albania,1905,female,5-14 years,3.00,286705.00,
Albania,1905,female,55-74 years,3.00,203841.00,
Albania,1905,female,75+ years,3.00,50970.00,
Albania,1905,male,15-24 years,19.00,286768.00,
Albania,1905,male,25-34 years,16.00,203938.00,
Albania,1905,male,35-54 years,39.00,391767.00,
Albania,1905,male,5-14 years,1.00,302181.00,
Albania,1905,male,55-74 years,10.00,207202.00,
Albania,1905,male,75+ years,4.00,35526.00,
Albania,1905,female,15-24 years,0.00,281922.00,
Albania,1905,female,25-34 years,0.00,190745.00,
Albania,1905,female,35-54 years,0.00,386513.00,
Albania,1905,female,5-14 years,0.00,276559.00,
Albania,1905,female,55-74 years,0.00,210998.00,
Albania,1905,female,75+ years,0.00,53191.00,
Albania,1905,male,15-24 years,0.00,281675.00,
Albania,1905,male,25-34 years,0.00,177519.00,
Albania,1905,male,35-54 years,0.00,380242.00,
Albania,1905,male,5-14 years,0.00,291367.00,
Albania,1905,male,55-74 years,0.00,214118.00,
Albania,1905,male,75+ years,0.00,38471.00,
Albania,1905,female,15-24 years,0.00,283138.00,
Albania,1905,female,25-34 years,0.00,186391.00,
Albania,1905,female,35-54 years,0.00,388746.00,
Albania,1905,female,5-14 years,0.00,267316.00,
Albania,1905,female,55-74 years,0.00,215907.00,
Albania,1905,female,75+ years,0.00,56011.00,
Albania,1905,male,15-24 years,0.00,286679.00,
Albania,1905,male,25-34 years,0.00,174092.00,
Albania,1905,male,35-54 years,0.00,379076.00,
Albania,1905,male,5-14 years,0.00,282678.00,
Albania,1905,male,55-74 years,0.00,219360.00,
Albania,1905,male,75+ years,0.00,40782.00,
Albania,1905,female,15-24 years,13.00,281080.00,
Albania,1905,female,25-34 years,8.00,183629.00,
Albania,1905,female,35-54 years,14.00,391811.00,
Albania,1905,female,5-14 years,0.00,256808.00,
Albania,1905,female,55-74 years,9.00,221120.00,
Albania,1905,female,75+ years,3.00,57404.00,
Albania,1905,male,15-24 years,13.00,288349.00,
Albania,1905,male,25-34 years,9.00,172494.00,
Albania,1905,male,35-54 years,29.00,378626.00,
Albania,1905,male,5-14 years,4.00,272497.00,
Albania,1905,male,55-74 years,14.00,224160.00,
Albania,1905,male,75+ years,8.00,42366.00,
Albania,1905,female,15-24 years,20.00,276073.00,
Albania,1905,female,25-34 years,9.00,182663.00,
Albania,1905,female,35-54 years,19.00,393832.00,
Albania,1905,female,5-14 years,1.00,246288.00,
Albania,1905,female,55-74 years,7.00,226448.00,
Albania,1905,female,75+ years,5.00,59369.00,
Albania,1905,male,15-24 years,11.00,286702.00,
Albania,1905,male,25-34 years,21.00,172855.00,
Albania,1905,male,35-54 years,37.00,377119.00,
Albania,1905,male,5-14 years,7.00,262464.00,
Albania,1905,male,55-74 years,21.00,228672.00,
Albania,1905,male,75+ years,2.00,44574.00,
Albania,1905,female,15-24 years,0.00,270003.00,
Albania,1905,female,25-34 years,0.00,182712.00,
Albania,1905,female,35-54 years,0.00,394286.00,
Albania,1905,female,5-14 years,0.00,236174.00,
Albania,1905,female,55-74 years,0.00,233302.00,
Albania,1905,female,75+ years,0.00,61582.00,
Albania,1905,male,15-24 years,0.00,283448.00,
Albania,1905,male,25-34 years,0.00,174955.00,
Albania,1905,male,35-54 years,0.00,374365.00,
Albania,1905,male,5-14 years,0.00,253007.00,
Albania,1905,male,55-74 years,0.00,234570.00,
Albania,1905,male,75+ years,0.00,47331.00,
Albania,1905,female,15-24 years,6.00,263581.00,
Albania,1905,female,25-34 years,6.00,183579.00,
Albania,1905,female,35-54 years,12.00,394593.00,
Albania,1905,female,5-14 years,2.00,223969.00,
Albania,1905,female,55-74 years,7.00,241491.00,
Albania,1905,female,75+ years,2.00,64415.00,
Albania,1905,male,15-24 years,10.00,279508.00,
Albania,1905,male,25-34 years,9.00,179720.00,
Albania,1905,male,35-54 years,20.00,371611.00,
Albania,1905,male,5-14 years,0.00,240939.00,
Albania,1905,male,55-74 years,20.00,241852.00,
Albania,1905,male,75+ years,2.00,50767.00,
Albania,1905,female,15-24 years,,258006.00,
Albania,1905,female,25-34 years,,184556.00,
Albania,1905,female,35-54 years,,394638.00,
Albania,1905,female,5-14 years,,210822.00,
Albania,1905,female,55-74 years,,250641.00,
Albania,1905,female,75+ years,,67649.00,
Albania,1905,male,15-24 years,,275385.00,
Albania,1905,male,25-34 years,,185898.00,
Albania,1905,male,35-54 years,,368950.00,
Albania,1905,male,5-14 years,,228071.00,
Albania,1905,male,55-74 years,,250362.00,
Albania,1905,male,75+ years,,54228.00,
Albania,1905,female,15-24 years,,249730.00,
Albania,1905,female,25-34 years,,187346.00,
Albania,1905,female,35-54 years,,395819.00,
Albania,1905,female,5-14 years,,198385.00,
Albania,1905,female,55-74 years,,259751.00,
Albania,1905,female,75+ years,,69811.00,
Albania,1905,male,15-24 years,,268954.00,
Albania,1905,male,25-34 years,,194250.00,
Albania,1905,male,35-54 years,,369536.00,
Albania,1905,male,5-14 years,,215894.00,
Albania,1905,male,55-74 years,,259056.00,
Albania,1905,male,75+ years,,56701.00,
Albania,1905,female,15-24 years,,237550.00,
Albania,1905,female,25-34 years,,191853.00,
Albania,1905,female,35-54 years,,397517.00,
Albania,1905,female,5-14 years,,187558.00,
Albania,1905,female,55-74 years,,269026.00,
Albania,1905,female,75+ years,,71601.00,
Albania,1905,male,15-24 years,,259826.00,
Albania,1905,male,25-34 years,,204491.00,
Albania,1905,male,35-54 years,,372005.00,
Albania,1905,male,5-14 years,,204865.00,
Albania,1905,male,55-74 years,,267905.00,
Albania,1905,male,75+ years,,59113.00,
Albania,1905,female,15-24 years,,224883.00,
Albania,1905,female,25-34 years,,195460.00,
Albania,1905,female,35-54 years,,399197.00,
Albania,1905,female,5-14 years,,177838.00,
Albania,1905,female,55-74 years,,278887.00,
Albania,1905,female,75+ years,,73945.00,
Albania,1905,male,15-24 years,,250345.00,
Albania,1905,male,25-34 years,,213828.00,
Albania,1905,male,35-54 years,,373493.00,
Albania,1905,male,5-14 years,,194554.00,
Albania,1905,male,55-74 years,,277604.00,
Albania,1905,male,75+ years,,61678.00,
Albania,1905,female,15-24 years,,212324.00,
Albania,1905,female,25-34 years,,199024.00,
Albania,1905,female,35-54 years,,400275.00,
Albania,1905,female,5-14 years,,168140.00,
Albania,1905,female,55-74 years,,289055.00,
Albania,1905,female,75+ years,,76861.00,
Albania,1905,male,15-24 years,,240777.00,
Albania,1905,male,25-34 years,,222680.00,
Albania,1905,male,35-54 years,,374464.00,
Albania,1905,male,5-14 years,,184114.00,
Albania,1905,male,55-74 years,,287770.00,
Albania,1905,male,75+ years,,64200.00,
Anguilla,1905,female,15-24 years,0.00,,
Anguilla,1905,female,25-34 years,0.00,,
Anguilla,1905,female,35-54 years,0.00,,
Anguilla,1905,female,5-14 years,0.00,,
Anguilla,1905,female,55-74 years,0.00,,
Anguilla,1905,female,75+ years,0.00,,
Anguilla,1905,male,15-24 years,0.00,,
Anguilla,1905,male,25-34 years,0.00,,
Anguilla,1905,male,35-54 years,0.00,,
Anguilla,1905,male,5-14 years,0.00,,
Anguilla,1905,male,55-74 years,0.00,,
Anguilla,1905,male,75+ years,0.00,,
Anguilla,1905,female,15-24 years,0.00,,
Anguilla,1905,female,25-34 years,0.00,,
Anguilla,1905,female,35-54 years,0.00,,
Anguilla,1905,female,5-14 years,0.00,,
Anguilla,1905,female,55-74 years,0.00,,
Anguilla,1905,female,75+ years,0.00,,
Anguilla,1905,male,15-24 years,0.00,,
Anguilla,1905,male,25-34 years,0.00,,
Anguilla,1905,male,35-54 years,0.00,,
Anguilla,1905,male,5-14 years,0.00,,
Anguilla,1905,male,55-74 years,0.00,,
Anguilla,1905,male,75+ years,0.00,,
Anguilla,1905,female,15-24 years,0.00,,
Anguilla,1905,female,25-34 years,0.00,,
Anguilla,1905,female,35-54 years,0.00,,
Anguilla,1905,female,5-14 years,0.00,,
Anguilla,1905,female,55-74 years,0.00,,
Anguilla,1905,female,75+ years,0.00,,
Anguilla,1905,male,15-24 years,0.00,,
Anguilla,1905,male,25-34 years,0.00,,
Anguilla,1905,male,35-54 years,0.00,,
Anguilla,1905,male,5-14 years,0.00,,
Anguilla,1905,male,55-74 years,0.00,,
Anguilla,1905,male,75+ years,0.00,,
Anguilla,1905,female,15-24 years,0.00,,
Anguilla,1905,female,25-34 years,0.00,,
Anguilla,1905,female,35-54 years,0.00,,
Anguilla,1905,female,5-14 years,0.00,,
Anguilla,1905,female,55-74 years,0.00,,
Anguilla,1905,female,75+ years,0.00,,
Anguilla,1905,male,15-24 years,0.00,,
Anguilla,1905,male,25-34 years,0.00,,
Anguilla,1905,male,35-54 years,0.00,,
Anguilla,1905,male,5-14 years,0.00,,
Anguilla,1905,male,55-74 years,0.00,,
Anguilla,1905,male,75+ years,0.00,,
Anguilla,1905,female,15-24 years,0.00,,
Anguilla,1905,female,25-34 years,0.00,,
Anguilla,1905,female,35-54 years,0.00,,
Anguilla,1905,female,5-14 years,0.00,,
Anguilla,1905,female,55-74 years,0.00,,
Anguilla,1905,female,75+ years,0.00,,
Anguilla,1905,male,15-24 years,0.00,,
Anguilla,1905,male,25-34 years,0.00,,
Anguilla,1905,male,35-54 years,0.00,,
Anguilla,1905,male,5-14 years,0.00,,
Anguilla,1905,male,55-74 years,0.00,,
Anguilla,1905,male,75+ years,0.00,,
Anguilla,1905,female,15-24 years,0.00,,
Anguilla,1905,female,25-34 years,0.00,,
Anguilla,1905,female,35-54 years,0.00,,
Anguilla,1905,female,5-14 years,0.00,,
Anguilla,1905,female,55-74 years,0.00,,
Anguilla,1905,female,75+ years,0.00,,
Anguilla,1905,male,15-24 years,0.00,,
Anguilla,1905,male,25-34 years,0.00,,
Anguilla,1905,male,35-54 years,0.00,,
Anguilla,1905,male,5-14 years,0.00,,
Anguilla,1905,male,55-74 years,0.00,,
Anguilla,1905,male,75+ years,0.00,,
Anguilla,1905,female,15-24 years,0.00,,
Anguilla,1905,female,25-34 years,0.00,,
Anguilla,1905,female,35-54 years,0.00,,
Anguilla,1905,female,5-14 years,0.00,,
Anguilla,1905,female,55-74 years,0.00,,
Anguilla,1905,female,75+ years,0.00,,
Anguilla,1905,male,15-24 years,0.00,,
Anguilla,1905,male,25-34 years,0.00,,
Anguilla,1905,male,35-54 years,0.00,,
Anguilla,1905,male,5-14 years,0.00,,
Anguilla,1905,male,55-74 years,0.00,,
Anguilla,1905,male,75+ years,0.00,,
Anguilla,1905,female,15-24 years,0.00,,
Anguilla,1905,female,25-34 years,0.00,,
Anguilla,1905,female,35-54 years,0.00,,
Anguilla,1905,female,5-14 years,0.00,,
Anguilla,1905,female,55-74 years,0.00,,
Anguilla,1905,female,75+ years,0.00,,
Anguilla,1905,male,15-24 years,0.00,,
Anguilla,1905,male,25-34 years,0.00,,
Anguilla,1905,male,35-54 years,0.00,,
Anguilla,1905,male,5-14 years,0.00,,
Anguilla,1905,male,55-74 years,0.00,,
Anguilla,1905,male,75+ years,0.00,,
Anguilla,1905,female,15-24 years,0.00,,
Anguilla,1905,female,25-34 years,0.00,,
Anguilla,1905,female,35-54 years,0.00,,
Anguilla,1905,female,5-14 years,0.00,,
Anguilla,1905,female,55-74 years,0.00,,
Anguilla,1905,female,75+ years,0.00,,
Anguilla,1905,male,15-24 years,0.00,,
Anguilla,1905,male,25-34 years,0.00,,
Anguilla,1905,male,35-54 years,0.00,,
Anguilla,1905,male,5-14 years,0.00,,
Anguilla,1905,male,55-74 years,0.00,,
Anguilla,1905,male,75+ years,0.00,,
Anguilla,1905,female,15-24 years,0.00,,
Anguilla,1905,female,25-34 years,0.00,,
Anguilla,1905,female,35-54 years,0.00,,
Anguilla,1905,female,5-14 years,0.00,,
Anguilla,1905,female,55-74 years,0.00,,
Anguilla,1905,female,75+ years,0.00,,
Anguilla,1905,male,15-24 years,0.00,,
Anguilla,1905,male,25-34 years,0.00,,
Anguilla,1905,male,35-54 years,0.00,,
Anguilla,1905,male,5-14 years,0.00,,
Anguilla,1905,male,55-74 years,0.00,,
Anguilla,1905,male,75+ years,0.00,,
Anguilla,1905,female,15-24 years,0.00,,
Anguilla,1905,female,25-34 years,0.00,,
Anguilla,1905,female,35-54 years,0.00,,
Anguilla,1905,female,5-14 years,0.00,,
Anguilla,1905,female,55-74 years,0.00,,
Anguilla,1905,female,75+ years,0.00,,
Anguilla,1905,male,15-24 years,0.00,,
Anguilla,1905,male,25-34 years,0.00,,
Anguilla,1905,male,35-54 years,0.00,,
Anguilla,1905,male,5-14 years,0.00,,
Anguilla,1905,male,55-74 years,0.00,,
Anguilla,1905,male,75+ years,0.00,,
Anguilla,1905,female,15-24 years,0.00,,
Anguilla,1905,female,25-34 years,0.00,,
Anguilla,1905,female,35-54 years,0.00,,
Anguilla,1905,female,5-14 years,0.00,,
Anguilla,1905,female,55-74 years,0.00,,
Anguilla,1905,female,75+ years,0.00,,
Anguilla,1905,male,15-24 years,0.00,,
Anguilla,1905,male,25-34 years,0.00,,
Anguilla,1905,male,35-54 years,0.00,,
Anguilla,1905,male,5-14 years,0.00,,
Anguilla,1905,male,55-74 years,0.00,,
Anguilla,1905,male,75+ years,0.00,,
Anguilla,1905,female,15-24 years,0.00,,
Anguilla,1905,female,25-34 years,0.00,,
Anguilla,1905,female,35-54 years,0.00,,
Anguilla,1905,female,5-14 years,0.00,,
Anguilla,1905,female,55-74 years,0.00,,
Anguilla,1905,female,75+ years,0.00,,
Anguilla,1905,male,15-24 years,0.00,,
Anguilla,1905,male,25-34 years,0.00,,
Anguilla,1905,male,35-54 years,0.00,,
Anguilla,1905,male,5-14 years,0.00,,
Anguilla,1905,male,55-74 years,0.00,,
Anguilla,1905,male,75+ years,0.00,,
Anguilla,1905,female,15-24 years,0.00,,
Anguilla,1905,female,25-34 years,0.00,,
Anguilla,1905,female,35-54 years,0.00,,
Anguilla,1905,female,5-14 years,0.00,,
Anguilla,1905,female,55-74 years,0.00,,
Anguilla,1905,female,75+ years,0.00,,
Anguilla,1905,male,15-24 years,0.00,,
Anguilla,1905,male,25-34 years,0.00,,
Anguilla,1905,male,35-54 years,0.00,,
Anguilla,1905,male,5-14 years,0.00,,
Anguilla,1905,male,55-74 years,0.00,,
Anguilla,1905,male,75+ years,0.00,,
Anguilla,1905,female,15-24 years,0.00,,
Anguilla,1905,female,25-34 years,0.00,,
Anguilla,1905,female,35-54 years,0.00,,
Anguilla,1905,female,5-14 years,0.00,,
Anguilla,1905,female,55-74 years,0.00,,
Anguilla,1905,female,75+ years,0.00,,
Anguilla,1905,male,15-24 years,0.00,,
Anguilla,1905,male,25-34 years,0.00,,
Anguilla,1905,male,35-54 years,0.00,,
Anguilla,1905,male,5-14 years,0.00,,
Anguilla,1905,male,55-74 years,0.00,,
Anguilla,1905,male,75+ years,0.00,,
Anguilla,1905,female,15-24 years,0.00,,
Anguilla,1905,female,25-34 years,0.00,,
Anguilla,1905,female,35-54 years,0.00,,
Anguilla,1905,female,5-14 years,0.00,,
Anguilla,1905,female,55-74 years,0.00,,
Anguilla,1905,female,75+ years,0.00,,
Anguilla,1905,male,15-24 years,0.00,,
Anguilla,1905,male,25-34 years,0.00,,
Anguilla,1905,male,35-54 years,1.00,,
Anguilla,1905,male,5-14 years,0.00,,
Anguilla,1905,male,55-74 years,0.00,,
Anguilla,1905,male,75+ years,0.00,,
Anguilla,1905,female,15-24 years,0.00,,
Anguilla,1905,female,25-34 years,0.00,,
Anguilla,1905,female,35-54 years,0.00,,
Anguilla,1905,female,5-14 years,0.00,,
Anguilla,1905,female,55-74 years,0.00,,
Anguilla,1905,female,75+ years,0.00,,
Anguilla,1905,male,15-24 years,0.00,,
Anguilla,1905,male,25-34 years,0.00,,
Anguilla,1905,male,35-54 years,0.00,,
Anguilla,1905,male,5-14 years,0.00,,
Anguilla,1905,male,55-74 years,0.00,,
Anguilla,1905,male,75+ years,0.00,,
Anguilla,1905,female,15-24 years,0.00,,
Anguilla,1905,female,25-34 years,0.00,,
Anguilla,1905,female,35-54 years,0.00,,
Anguilla,1905,female,5-14 years,0.00,,
Anguilla,1905,female,55-74 years,0.00,,
Anguilla,1905,female,75+ years,0.00,,
Anguilla,1905,male,15-24 years,0.00,,
Anguilla,1905,male,25-34 years,0.00,,
Anguilla,1905,male,35-54 years,0.00,,
Anguilla,1905,male,5-14 years,0.00,,
Anguilla,1905,male,55-74 years,0.00,,
Anguilla,1905,male,75+ years,0.00,,
Anguilla,1905,female,15-24 years,0.00,,
Anguilla,1905,female,25-34 years,0.00,,
Anguilla,1905,female,35-54 years,0.00,,
Anguilla,1905,female,5-14 years,0.00,,
Anguilla,1905,female,55-74 years,0.00,,
