sex,age,population,status,age_bucket,probability
Male,71,1378,Widowed,55-74 years,0.73
Male,72,1433,Widowed,55-74 years,0.73
Male,73,1432,Widowed,55-74 years,0.73
Male,74,1415,Widowed,55-74 years,0.73
Male,75,1491,Widowed,75+ years,0.78
Male,76,1538,Widowed,75+ years,0.78
Male,77,1463,Widowed,75+ years,0.78
Male,78,1468,Widowed,75+ years,0.78
Male,79,1541,Widowed,75+ years,0.78
Male,80,1557,Widowed,75+ years,0.78
Male,81,1488,Widowed,75+ years,0.78
Male,82,1481,Widowed,75+ years,0.78
Male,83,1413,Widowed,75+ years,0.78
Male,84,1311,Widowed,75+ years,0.78
Male,85,1282,Widowed,75+ years,0.78
Male,86,1108,Widowed,75+ years,0.78
Male,87,978,Widowed,75+ years,0.78
Male,88,831,Widowed,75+ years,0.78
Male,89,752,Widowed,75+ years,0.78
Male,90,648,Widowed,75+ years,0.78
Male,91,528,Widowed,75+ years,0.78
Male,92,422,Widowed,75+ years,0.78
Male,93,345,Widowed,75+ years,0.78
Male,94,265,Widowed,75+ years,0.78
Male,95,193,Widowed,75+ years,0.78
Male,96,130,Widowed,75+ years,0.78
Male,97,91,Widowed,75+ years,0.78
Male,98,51,Widowed,75+ years,0.78
Male,99,28,Widowed,75+ years,0.78
Male,100,50,Widowed,75+ years,0.78
Female,1,0,Widowed,0-4 years,0
Female,1,0,Widowed,0-4 years,0
Female,2,0,Widowed,0-4 years,0
Female,3,0,Widowed,0-4 years,0
Female,4,0,Widowed,0-4 years,0
Female,5,0,Widowed,5-14 years,0
Female,6,0,Widowed,5-14 years,0
Female,7,0,Widowed,5-14 years,0
Female,8,0,Widowed,5-14 years,0
Female,9,0,Widowed,5-14 years,0
Female,10,0,Widowed,5-14 years,0
Female,11,0,Widowed,5-14 years,0
Female,12,0,Widowed,5-14 years,0
Female,13,0,Widowed,5-14 years,0
Female,14,0,Widowed,5-14 years,0
Female,15,0,Widowed,15-24 years,0.45
Female,16,0,Widowed,15-24 years,0.45
Female,17,1,Widowed,15-24 years,0.45
Female,18,15,Widowed,15-24 years,0.45
Female,19,12,Widowed,15-24 years,0.45
Female,20,14,Widowed,15-24 years,0.45
Female,21,22,Widowed,15-24 years,0.45
Female,22,31,Widowed,15-24 years,0.45
Female,23,26,Widowed,15-24 years,0.45
Female,24,36,Widowed,15-24 years,0.45
Female,25,31,Widowed,25-34 years,0.47
Female,26,38,Widowed,25-34 years,0.47
Female,27,51,Widowed,25-34 years,0.47
Female,28,44,Widowed,25-34 years,0.47
Female,29,81,Widowed,25-34 years,0.47
Female,30,107,Widowed,25-34 years,0.47
Female,31,115,Widowed,25-34 years,0.47
Female,32,121,Widowed,25-34 years,0.47
Female,33,130,Widowed,25-34 years,0.47
Female,34,147,Widowed,25-34 years,0.47
Female,35,182,Widowed,35-54 years,0.28
Female,36,185,Widowed,35-54 years,0.28
Female,37,185,Widowed,35-54 years,0.28
Female,38,218,Widowed,35-54 years,0.28
Female,39,198,Widowed,35-54 years,0.28
Female,40,286,Widowed,35-54 years,0.28
Female,41,327,Widowed,35-54 years,0.28
Female,42,348,Widowed,35-54 years,0.28
Female,43,383,Widowed,35-54 years,0.28
Female,44,408,Widowed,35-54 years,0.28
Female,45,486,Widowed,35-54 years,0.28
Female,46,506,Widowed,35-54 years,0.28
Female,47,523,Widowed,35-54 years,0.28
Female,48,581,Widowed,35-54 years,0.28
Female,49,644,Widowed,35-54 years,0.28
Female,50,785,Widowed,35-54 years,0.28
Female,51,798,Widowed,35-54 years,0.28
Female,52,934,Widowed,35-54 years,0.28
Female,53,998,Widowed,35-54 years,0.28
Female,54,1138,Widowed,35-54 years,0.28
Female,55,1212,Widowed,55-74 years,0.27
Female,56,1339,Widowed,55-74 years,0.27
Female,57,1460,Widowed,55-74 years,0.27
Female,58,1578,Widowed,55-74 years,0.27
Female,59,1752,Widowed,55-74 years,0.27
Female,60,1865,Widowed,55-74 years,0.27
Female,61,2082,Widowed,55-74 years,0.27
Female,62,2027,Widowed,55-74 years,0.27
Female,63,2457,Widowed,55-74 years,0.27
Female,64,2561,Widowed,55-74 years,0.27
Female,65,2725,Widowed,55-74 years,0.27
Female,66,3117,Widowed,55-74 years,0.27
Female,67,3316,Widowed,55-74 years,0.27
Female,68,3406,Widowed,55-74 years,0.27
Female,69,3803,Widowed,55-74 years,0.27
Female,70,3942,Widowed,55-74 years,0.27
Female,71,4080,Widowed,55-74 years,0.27
Female,72,4225,Widowed,55-74 years,0.27
Female,73,4487,Widowed,55-74 years,0.27
Female,74,4284,Widowed,55-74 years,0.27
Female,75,4513,Widowed,75+ years,0.22
Female,76,4820,Widowed,75+ years,0.22
Female,77,4977,Widowed,75+ years,0.22
Female,78,4889,Widowed,75+ years,0.22
Female,79,5243,Widowed,75+ years,0.22
Female,80,5387,Widowed,75+ years,0.22
Female,81,5302,Widowed,75+ years,0.22
Female,82,5282,Widowed,75+ years,0.22
Female,83,5054,Widowed,75+ years,0.22
Female,84,4715,Widowed,75+ years,0.22
Female,85,4636,Widowed,75+ years,0.22
Female,86,4223,Widowed,75+ years,0.22
Female,87,3864,Widowed,75+ years,0.22
Female,88,3487,Widowed,75+ years,0.22
Female,89,3164,Widowed,75+ years,0.22
Female,90,2718,Widowed,75+ years,0.22
Female,91,2275,Widowed,75+ years,0.22
Female,92,1872,Widowed,75+ years,0.22
Female,93,1513,Widowed,75+ years,0.22
Female,94,1210,Widowed,75+ years,0.22
Female,95,879,Widowed,75+ years,0.22
Female,96,649,Widowed,75+ years,0.22
Female,97,397,Widowed,75+ years,0.22
Female,98,245,Widowed,75+ years,0.22
Female,99,180,Widowed,75+ years,0.22
Female,100,270,Widowed,75+ years,0.22
